"Qty","Reference","Value","DK","PARTNO","voltage"
"1","C18","100pF","311-1024-1-ND","CC0402JRNPO9BN101","50V"
"1","C48","12pF","311-1016-1-ND","CC0402JRNPO9BN120","50V"
"1","C96","47uF","4713-GMC31X5R476M25NTCT-ND","GMC31X5R476M25NT","25V"
"2","C1,C22","33uF","399-3882-1-ND","T495D336K025ATE300","25V"
"2","C16,C37","4.7uF","490-14306-1-ND","GRM155R61A475MEAAD",""
"18","C2,C3,C23,C24,C38,C39,C43,C44,C49,C54,C55,C56,C57,C58,C59,C60,C61,C62","10uF","490-18214-1-ND","GRM188R61E106KA73D",""
"2","C20,C45","33pF","478-KGM05ACG1E330JHCT-ND","KGM05ACG1E330JH","25V"
"29","C21,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91","1uF","587-5514-1-ND","EMK105BJ105MV-F",""
"8","C4,C15,C19,C25,C36,C42,C46,C47","1uF","587-2984-1-ND","TMK107B7105KA-T","25V"
"2","C5,C26","4.7nF","490-1309-1-ND","GRM155R71E472KA01D","25V"
"2","C6,C27","2.2nF","490-8257-1-ND","490-8257-1-ND","25V"
"11","C7,C17,C28,C40,C50,C51,C52,C53,C92,C94,C97","0.1uF","478-KGM05AR71C104KHCT-ND","KGM05AR71C104KH",""
"2","C8,C29","1000pF","311-1127-1-ND","CC0805KRX7R9BB102","50V"
"12","C9,C10,C11,C12,C13,C14,C30,C31,C32,C33,C34,C35","100uF","1276-1782-1-ND","CL31A107MQHNNNE","6.3V"
"2","C93,C95","470pF","490-1297-1-ND","GRM1555C1H471JA01D",""
"1","J1","XT30","~","XT30PW-M",""
"1","J3","Conn_01x04","","",""
"1","J4","USB_C_Receptacle_USB2.0","2073-USB4105-GF-ACT-ND","USB4105-GF-A",""
"1","J5","Conn_01x06","","",""
"1","J6","Conn_01x04","455-BM04B-SRSS-TBCT-ND","BM04B-SRSS-TB",""
"1","J7","Conn_01x04","WM4330-ND","0470531000",""
"1","J8","TC2030-IDC","","",""
"2","L1,L2","270nH","","SLC1175-271MEB",""
"1","R7","8.25k","311-8.25KLRCT-ND","RC0402FR-078K25L",""
"1","R11","26.1k","311-26.1KLRCT-ND","RC0402FR-0726K1L",""
"1","R13","56.2k","YAG3187CT-ND","RC0402FR-0756K2L",""
"1","R14","10m","YAG2151CT-ND","PE2512FKE070R01L",""
"1","R27","2k","YAG2303CT-ND","RT0402BRD072KL",""
"1","R31","5.6k","311-5.6KLRCT-ND","RC0402FR-075K6L",""
"2","R1,R8","49.9","311-49.9LRCT-ND","RC0402FR-0749R9L",""
"2","R17,R23","20k","311-20.0KLRCT-ND","RC0402FR-0720KL",""
"2","R2,R15","1","RHM1KTR-ND","ESR10EZPJ1R0",""
"3","R21,R22,R40","4.7k","311-4.7KJRCT-ND","RC0402JR-074K7L",""
"2","R26,R28","1k","311-1.00KLRCT-ND","RC0402FR-071KL",""
"7","R29,R32,R34,R36,R37,R38,R39","0","311-0.0JRCT-ND","RC0402JR-070RL",""
"2","R3,R16","10","311-10.0LRCT-ND","RC0402FR-0710RL",""
"8","R4,R5,R6,R18,R19,R20,R24,R30","10k","311-10KJRCT-ND","RC0402JR-0710KL",""
"2","SW1,SW2","SWITCH-SPST","P19095CT-ND","EVQ-9P701P",""
"1","TP18","1V2","","",""
"1","U2","NCS21671SQ050T2G","488-NCS21671SQ050T2GCT-ND","NCS21671SQ050T2G",""
"1","U3","TPSM861253RDXR","296-TPSM861253RDXRCT-ND","TPSM861253RDXR",""
"1","U5","L78L05_SOT89","296-11118-1-ND","UA78L05ACPK",""
"1","U6","ESP32-S3-WROOM-1","1965-ESP32-S3-WROOM-1-N16R8CT-ND","ESP32-S3-WROOM-1-N16R8",""
"1","U7","SN74AVC4T774","296-24739-1-ND","SN74AVC4T774PWR",""
"1","U8","25MHz","","",""
"1","U11","MCP1824T-1202E/OT","MCP1824T-1202E/OTCT-ND","MCP1824T-1202E/OT",""
"1","U12","MCP1824T-0802E","MCP1824T-0802E/OTCT-ND","MCP1824T-0802E/OT",""
"1","U13","EMC2103-2","150-EMC2103-4-AP-CT-ND","EMC2103-4-AP-TR",""
"2","U1,U4","TPS546D24ARVFR","296-TPS546D24ARVFRCT-ND","TPS546D24ARVFR",""
"2","U9,U10","BM1370_mode1","","",""
